dataset,feature,classifier,iteration,accuracy,precision,recall,f1,kappa
bilbao,LTAS,KNeighborsClassifier,0,0.15384615384615385,0.2154761904761905,0.15512820512820513,0.15810087348548885,0.08215661103979477
bilbao,LTAS,KNeighborsClassifier,1,0.1076923076923077,0.10521978021978022,0.10897435897435898,0.10381178650409417,0.03159517081941954
bilbao,LTAS,KNeighborsClassifier,2,0.18461538461538463,0.22344322344322343,0.16923076923076924,0.1645322626091857,0.11462349010537132
bilbao,LTAS,KNeighborsClassifier,3,0.2153846153846154,0.2775641025641026,0.21153846153846154,0.21265017034247802,0.14847161572052403
bilbao,LTAS,KNeighborsClassifier,4,0.23076923076923078,0.2690476190476191,0.2294871794871795,0.22850395218816272,0.1662390969728066
bilbao,LTAS,KNeighborsClassifier,5,0.18461538461538463,0.19291819291819293,0.1935897435897436,0.18777120315581855,0.1166666666666667
bilbao,LTAS,KNeighborsClassifier,6,0.16923076923076924,0.2827838827838828,0.17051282051282052,0.19331501831501832,0.09884467265725283
bilbao,LTAS,KNeighborsClassifier,7,0.18461538461538463,0.2316849816849817,0.18589743589743588,0.18933288933288933,0.11598665640236083
bilbao,LTAS,KNeighborsClassifier,8,0.26153846153846155,0.27912087912087913,0.26282051282051283,0.25792327330788867,0.19711785898095724
bilbao,LTAS,KNeighborsClassifier,9,0.27692307692307694,0.26172161172161174,0.27820512820512816,0.2527668912284297,0.21626475115443822
bilbao,LTAS,SVC,0,0.8615384615384616,0.8765567765567766,0.8576923076923078,0.8562309485386409,0.849768875192604
bilbao,LTAS,SVC,1,0.7846153846153846,0.802991452991453,0.7820512820512822,0.7853979353979355,0.7661870503597122
bilbao,LTAS,SVC,2,0.8153846153846154,0.8305860805860807,0.8025641025641026,0.8024475524475523,0.7996403801695351
bilbao,LTAS,SVC,3,0.8615384615384616,0.8811355311355311,0.8576923076923078,0.8534179495717957,0.8497302851271513
bilbao,LTAS,SVC,4,0.9230769230769231,0.926923076923077,0.9230769230769231,0.9191919191919191,0.9166025147549397
bilbao,LTAS,SVC,5,0.8307692307692308,0.8911921411921411,0.8217948717948718,0.8170523920523921,0.8163841807909604
bilbao,LTAS,SVC,6,0.9384615384615385,0.9523809523809524,0.9435897435897437,0.9407148407148408,0.9332991277578245
bilbao,LTAS,SVC,7,0.7846153846153846,0.8123626373626374,0.7782051282051282,0.7792792677408061,0.7664271047227926
bilbao,LTAS,SVC,8,0.9076923076923077,0.91978021978022,0.9064102564102564,0.9041450002988463,0.8999230177059276
bilbao,LTAS,SVC,9,0.9230769230769231,0.9307692307692308,0.9282051282051283,0.9255633255633254,0.9166452936650423
bilbao,LTCC,KNeighborsClassifier,0,0.15384615384615385,0.2154761904761905,0.15512820512820513,0.15810087348548885,0.08215661103979477
