dataset,excerpt_trained_on,test_type,iteration,accuracy,precision,recall,f1,kappa
cnsm,gamme,Same Excerpt,0,0.9791666666666666,0.9824561403508771,0.9833333333333334,0.9824439824439825,0.9676113360323887
cnsm,gamme,Different Excerpt,0,0.7602389078498294,0.8093261383612074,0.7335503952553585,0.7547151051075106,0.6177691633637223
cnsm,gamme,Same Excerpt,1,0.9375,0.9523809523809524,0.9166666666666666,0.9287749287749287,0.9017735334242838
cnsm,gamme,Different Excerpt,1,0.7056313993174061,0.7589097685788148,0.6724660265780059,0.6924821557589286,0.5285687302812451
cnsm,gamme,Same Excerpt,2,0.8958333333333334,0.9236111111111112,0.8777777777777778,0.8934442463854229,0.8351648351648352
cnsm,gamme,Different Excerpt,2,0.7397610921501706,0.740717901063383,0.7467220359434793,0.7415775644302695,0.5960534240987028
cnsm,gamme,Same Excerpt,3,0.9375,0.9486461251167132,0.9462962962962962,0.9470383275261324,0.9025710419485792
cnsm,gamme,Different Excerpt,3,0.7244027303754266,0.7735163077778847,0.7002537122583318,0.7189661170654879,0.5606140975002234
cnsm,gamme,Same Excerpt,4,0.8958333333333334,0.8962962962962964,0.8962962962962964,0.8962962962962964,0.8378378378378378
cnsm,gamme,Different Excerpt,4,0.7824232081911263,0.7805521122768356,0.7869994913010651,0.7831949493755553,0.6624629834179265
cnsm,gamme,Same Excerpt,5,0.9583333333333334,0.9666666666666667,0.9666666666666667,0.9649122807017543,0.9353099730458221
cnsm,gamme,Different Excerpt,5,0.7448805460750854,0.7891448737967056,0.7120012350410385,0.7312208828017561,0.5924483361381285
cnsm,gamme,Same Excerpt,6,0.9583333333333334,0.9648148148148148,0.9648148148148148,0.9648148148148148,0.9351351351351351
cnsm,gamme,Different Excerpt,6,0.7389078498293515,0.78976733729933,0.7106702183508397,0.7318010297640618,0.5837512665669276
cnsm,gamme,Same Excerpt,7,0.9166666666666666,0.9393939393939394,0.9,0.9120857699805067,0.8692098092643052
cnsm,gamme,Different Excerpt,7,0.7482935153583617,0.8030636180419649,0.6996647326033892,0.7177669124133104,0.595010905444757
cnsm,gamme,Same Excerpt,8,0.875,0.8778752436647174,0.8648148148148147,0.8695456590193432,0.8046132971506106
cnsm,gamme,Different Excerpt,8,0.7098976109215017,0.7331703876792521,0.6817086878747164,0.6952949919902859,0.5387365028800031
cnsm,gamme,Same Excerpt,9,0.9791666666666666,0.9824561403508771,0.9833333333333334,0.9824439824439825,0.9676113360323887
cnsm,gamme,Different Excerpt,9,0.742320819112628,0.7888976721365099,0.7060285059132245,0.7254616282278336,0.587655192580347
cnsm,bach,Same Excerpt,0,1.0,1.0,1.0,1.0,1.0
cnsm,bach,Different Excerpt,0,0.7771333885666943,0.7949284841172437,0.7781486697371692,0.772384505717839,0.6555577244190216
cnsm,bach,Same Excerpt,1,0.926829268292683,0.9171717171717172,0.9375,0.9236559139784947,0.8883847549909256
cnsm,bach,Different Excerpt,1,0.7597348798674399,0.7817867671806127,0.7700264915962988,0.7564151817218607,0.6307860103096807
cnsm,bach,Same Excerpt,2,0.9512195121951219,0.943355119825708,0.9421296296296297,0.9421092646899099,0.9246323529411765
cnsm,bach,Different Excerpt,2,0.7696768848384424,0.8055901901409047,0.7800948700877491,0.7662214284655086,0.6446067061093848
cnsm,bach,Same Excerpt,3,0.9512195121951219,0.9470588235294116,0.9583333333333334,0.9501329080276449,0.9251141552511416
cnsm,bach,Different Excerpt,3,0.7224523612261806,0.802613490910076,0.7300403373200014,0.723928623052958,0.5672080156614088
cnsm,bach,Same Excerpt,4,0.9512195121951219,0.9595588235294118,0.9421296296296297,0.9494578134284017,0.9241443108233117
cnsm,bach,Different Excerpt,4,0.7953603976801988,0.8060133930825059,0.8152120239218686,0.7904702141409725,0.6881290294234872
cnsm,bach,Same Excerpt,5,0.975609756097561,0.9803921568627452,0.9629629629629629,0.9702911467617351,0.9620721554116559
cnsm,bach,Different Excerpt,5,0.7705053852526926,0.7749535364821164,0.7823953288029188,0.761789071876613,0.6521555930559919
