dataset,player_trained_on,test_type,iteration,accuracy,precision,recall,f1,kappa
cnsm,Paul,Same Player,0,0.875,0.8666666666666667,0.862962962962963,0.8631578947368421,0.8059299191374663
cnsm,Paul,Different Player,0,0.6930232558139535,0.6736211732208072,0.6271542566766155,0.6253365708077632,0.5080603224128966
cnsm,Paul,Same Player,1,0.75,0.7851851851851852,0.7851851851851852,0.7428571428571429,0.6269430051813472
cnsm,Paul,Different Player,1,0.7837209302325582,0.7748663353288904,0.7236848480788534,0.7299778304989953,0.6547420566019274
cnsm,Paul,Same Player,2,0.75,0.7166666666666667,0.7222222222222222,0.7171122994652407,0.6149732620320856
cnsm,Paul,Different Player,2,0.7224806201550388,0.7083663343287113,0.6562992240142972,0.6576665073016881,0.5544858190237315
cnsm,Paul,Same Player,3,0.8333333333333334,0.8257575757575758,0.7962962962962963,0.8046783625730994,0.7384196185286104
cnsm,Paul,Different Player,3,0.7209302325581395,0.6816844237327806,0.6560939673846901,0.654198508478249,0.5544669865217629
cnsm,Paul,Same Player,4,0.7916666666666666,0.7592592592592592,0.725925925925926,0.7289562289562289,0.6666666666666667
cnsm,Paul,Different Player,4,0.6875968992248062,0.6639493367635149,0.620305824484726,0.6175213853422187,0.49860393790778756
cnsm,Paul,Same Player,5,0.7083333333333334,0.7361111111111112,0.6925925925925925,0.7037037037037037,0.5434782608695652
cnsm,Paul,Different Player,5,0.7077519379844961,0.6897308407381063,0.6332026226249067,0.6290256367326329,0.5290315770513172
cnsm,Paul,Same Player,6,0.7083333333333334,0.6666666666666666,0.6592592592592593,0.660428849902534,0.540983606557377
cnsm,Paul,Different Player,6,0.7589147286821706,0.7374589959652704,0.6967574759161544,0.6987536713086064,0.6162917479628142
cnsm,Paul,Same Player,7,0.8333333333333334,0.8166666666666668,0.7962962962962963,0.802923976608187,0.7377049180327868
cnsm,Paul,Different Player,7,0.7162790697674418,0.6770675269945895,0.6528025195087235,0.6518844900807765,0.5481459859603117
cnsm,Paul,Same Player,8,0.8333333333333334,0.8257575757575758,0.7962962962962963,0.8046783625730994,0.7384196185286104
