dataset,n_players,n_excerpts_per_player,iteration,accuracy,precision,recall,f1,kappa
bilbao,1,2,0,0.12307692307692308,0.03923853923853923,0.12307692307692308,0.055899608865710555,0.050000000000000155
bilbao,1,2,1,0.07692307692307693,0.00591715976331361,0.07692307692307693,0.010989010989010988,0.0
bilbao,1,2,3,0.15384615384615385,0.027056277056277056,0.15384615384615385,0.0452843859437266,0.08333333333333337
bilbao,1,2,4,0.12307692307692308,0.02288329519450801,0.1282051282051282,0.03692307692307692,0.05653170359052706
bilbao,1,2,5,0.07692307692307693,0.006105006105006105,0.06410256410256411,0.011148272017837236,-0.016419077404222104
bilbao,1,2,6,0.09230769230769231,0.013914946841776112,0.09230769230769233,0.0239880059970015,0.01666666666666672
bilbao,1,2,7,0.07692307692307693,0.006105006105006105,0.07692307692307693,0.011312217194570135,-2.220446049250313e-16
bilbao,1,2,8,0.1076923076923077,0.017468885889938522,0.10769230769230768,0.029964221824686943,0.033333333333333326
bilbao,1,2,9,0.13846153846153847,0.03776223776223776,0.13846153846153847,0.05384615384615384,0.06666666666666665
bilbao,1,2,10,0.15384615384615385,0.025406504065040653,0.14102564102564102,0.04289181105028501,0.07359419538740608
bilbao,1,2,11,0.12307692307692308,0.020085470085470084,0.11538461538461539,0.033136094674556214,0.045103092783505216
bilbao,1,2,12,0.13846153846153847,0.021794871794871794,0.1346153846153846,0.03733031674208145,0.06064516129032249
bilbao,1,2,13,0.09230769230769231,0.015000000000000001,0.10384615384615385,0.025874125874125874,0.026649746192893398
bilbao,1,2,14,0.07692307692307693,0.006105006105006105,0.07692307692307693,0.011312217194570135,-2.220446049250313e-16
bilbao,1,3,0,0.09230769230769231,0.04265734265734266,0.10384615384615385,0.049780727746829435,0.029359655783345984
bilbao,1,3,1,0.15384615384615385,0.0689102564102564,0.14615384615384613,0.0868147817349559,0.08121305576972493
bilbao,1,3,2,0.2,0.06149083115027388,0.20256410256410257,0.08912247173116739,0.1379750063759244
bilbao,1,3,3,0.09230769230769231,0.02179017563632948,0.1,0.03546865620444216,0.023178807947019986
bilbao,1,3,4,0.1076923076923077,0.021211054391832424,0.09743589743589744,0.03366515837104072,0.02860087606287043
